Variable / Field Name	Form Name	Section Header	Field Type	Field Label	Choices, Calculations, OR Slider Labels	Field Note	Text Validation Type OR Show Slider Number	Text Validation Min	Text Validation Max	Identifier?	Branching Logic (Show field only if...)	Required Field?	Custom Alignment	Question Number (surveys only)	Matrix Group Name	Matrix Ranking?	Field Annotation
"antidepressantspastwhich_fb72af"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[antidepressantspast_604434] = '1'"	""	""		""		""
"antianxiety_5054a2"	"phone_screen"	""	"dropdown"	"Are you currently taking anti-anxiety medications?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"antianxietywhich_b2adc3"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name and dose"	""			""	"[antianxiety_5054a2] = '1'"	""	""		""		""
"antianxietyhowlong_8d3589"	"phone_screen"	""	"text"	"If yes, how long have you been taking anti-anxiety medications?"	""	""	""			""	"[antianxiety_5054a2] = '1'"	""	""		""		""
"antianxietypast_19cecf"	"phone_screen"	""	"dropdown"	"Have you taken anti-anxiety medications in the past?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"antianxietypastwhich_92f67d"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[antianxietypast_19cecf] = '1'"	""	""		""		""
"sleepaids_dc2b74"	"phone_screen"	""	"dropdown"	"Are you currently taking prescribed sleep aids?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"sleepaidswhich_c7c80c"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name and dose"	""			""	"[sleepaids_dc2b74] = '1'"	""	""		""		""
"sleepaidshowlong_591f76"	"phone_screen"	""	"text"	"If yes, how long have you been taking prescribed sleep aids?"	""	""	""			""	"[sleepaids_dc2b74] = '1'"	""	""		""		""
"sleepaidspast_7e37b1"	"phone_screen"	""	"dropdown"	"Have you taken prescribed sleep aids in the past?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"sleepaidspastwhich_a9ed2b"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[sleepaidspast_7e37b1] = '1'"	""	""		""		""
"moodstabilizers_2ec826"	"phone_screen"	""	"dropdown"	"Are you currently taking mood stabilizers?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	"These medications are typically used to treat psychotic disorders. Some examples are: Lithium, Seroquel, Zyprexa"	""			""	""	""	""		""		""
"moodstabilizerswhich_b728b3"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name and dose"	""			""	"[moodstabilizers_2ec826] = '1'"	""	""		""		""
"moodstabilizershowlong_f8b19c"	"phone_screen"	""	"text"	"If yes, how long have you been taking mood stabilizers?"	""	""	""			""	"[moodstabilizers_2ec826] = '1'"	""	""		""		""
"moodstabilizerspast_c432bb"	"phone_screen"	""	"dropdown"	"Have you taken mood stabilizers in the past?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"moodstabilizerspastwhich_1be6fe"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[moodstabilizerspast_c432bb] = '1'"	""	""		""		""
"supplements_f7e82f"	"phone_screen"	""	"dropdown"	"Have you taken over-the-counter supplements with psychoactive effects in the past two weeks, such as St. John's Wort, and or Melatonin?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"supplementswhich_5d8e76"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name and dose"	""			""	"[supplements_f7e82f] = '1'"	""	""		""		""
"supplementshowlong_afbb34"	"phone_screen"	""	"text"	"If yes, how long have you taken these supplements?"	""	""	""			""	"[supplements_f7e82f] = '1'"	""	""		""		""
"supplementspast_ba5bfc"	"phone_screen"	""	"dropdown"	"Have you taken over-the-counter supplements with psychoactive effects in the past?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"supplementspastwhich_b37c5d"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[supplementspast_ba5bfc] = '1'"	""	""		""		""
"anymeds"	"phone_screen"	""	"dropdown"	"Are you currently taking any other medications, for any conditions, or are there any significant past medications you would like us to know about?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"all_meds"	"phone_screen"	""	"notes"	"If yes, which ones?"	""	"Name, dose, how long, why did they stop"	""			""	"[anymeds] = '1' or [anymeds] = '3'"	""	""		""		""
"stroke_34cf8d"	"phone_screen"	"Diseases/health problems: In this section we will be asking you questions about possible diseases and health problems you may have. If any of these problems have applied to you in the past, please let us know. You can answer \"yes\", \"no\", or \"not sure\", and if needed, we will ask you follow up questions. Sound good?"	"checkbox"	"Have you ever had a stroke (the rapid loss of brain function due to a disturbance in the brain's blood supply)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"seizures_9b2809"	"phone_screen"	""	"checkbox"	"Do you have a history of seizures?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"neurological"	"phone_screen"	""	"checkbox"	"Do you have any neurological disease (disorder of the nervous system, like paralysis, muscle weakness, seizure, etc.)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"hivaids"	"phone_screen"	""	"checkbox"	"Do you have HIV/AIDS?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"tbi_07d943"	"phone_screen"	""	"checkbox"	"Have you ever had a traumatic brain injury or concussion?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"lostconsciousness"	"phone_screen"	""	"checkbox"	"Have you ever lost consciousness?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"lostconsciousnesshowlong"	"phone_screen"	""	"checkbox"	"If yes, was it for more than ten minutes?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	"[lostconsciousness(1)] = '1'"	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"liverhepatic"	"phone_screen"	""	"checkbox"	"Have you ever had liver dysfunction or Hepatic disese?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"liverimpaired_e3ecdf"	"phone_screen"	""	"checkbox"	"If yes, would you consider your liver to be impaired?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	"[liverhepatic(1)] = '1' or [liverhepatic(4)] = '1' or [liverhepatic(5)] = '1'"	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"diabetes_e53f52"	"phone_screen"	""	"checkbox"	"Do you have diabetes?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"asthma_657744"	"phone_screen"	""	"checkbox"	"Do you have asthma?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"irritablebowelsyndrome"	"phone_screen"	""	"checkbox"	"Do you have Irritable Bowel Syndrome?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"gerd_055acd"	"phone_screen"	""	"checkbox"	"Do you have Esophageal Reflux (GERD)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"allergies_b59b9f"	"phone_screen"	""	"checkbox"	"Do you have allergies?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"highbloodpressure"	"phone_screen"	""	"checkbox"	"Do you have high blood pressure?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"ulcers_94e5af"	"phone_screen"	""	"checkbox"	"Do you have ulcers?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"cerebrovascular"	"phone_screen"	""	"checkbox"	"Do you have cerebrovascular disease (disease of blood vessels supplying the brain)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"pulmonary"	"phone_screen"	""	"checkbox"	"Do you have pulmonary disease (lung disease, e.g. chronic bronchitis, emphysema, etc.)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"gastrointestinal"	"phone_screen"	""	"checkbox"	"Do you have gastrointestinal disease?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"cardiac_05dd28"	"phone_screen"	""	"checkbox"	"Do you have cardiac disease?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"renal_d69b92"	"phone_screen"	""	"checkbox"	"Do you have renal disease (kidney failure)?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"dialysis_f929e7"	"phone_screen"	""	"checkbox"	"If yes, have you ever been on dialysis?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	"[renal_d69b92(1)] = '1'"	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"anemia_9ac0bc"	"phone_screen"	""	"checkbox"	"Do you have anemia?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"cancer_873f75"	"phone_screen"	""	"checkbox"	"Do you have cancer?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"frequentheartburn"	"phone_screen"	""	"checkbox"	"Do you have frequent heartburn?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"thyroid_01de37"	"phone_screen"	""	"checkbox"	"Do you have thyroid problems?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"migraines_0a0af5"	"phone_screen"	""	"checkbox"	"Do you have migraines?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"malabsorption_fcdc10"	"phone_screen"	""	"checkbox"	"Do you have a history of malabsorption?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"otherconditions"	"phone_screen"	""	"checkbox"	"Do you have any other medical conditions, diseases, or health problems?"	"1, Yes | 2, No | 3, Not sure | 4, On medications | 5, Managed | 6, Declined to answer"	""	""			""	""	""	""		"diseaseshealthproblems_760636"		"When? Medications? Current effects? Managed? Frequency? Intensity? Cause? Sought medical attention?"
"otherconditionsspecify_fffaba"	"phone_screen"	""	"notes"	"If you have other medical conditions, diseases, or health problems, please specify"	""	""	""			""	"[otherconditions(1)] = '1' or [otherconditions(4)] = '1' or [otherconditions(5)] = '1'"	""	""		""		""
"locnumber"	"phone_screen"	"Traumatic Brain Injury/Loss of Consciousness Follow-up Questions"	"text"	"How many times have you lost consciousness, had a traumatic brain injury, and or concussion?"	""	""	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"locmostrecent"	"phone_screen"	""	"text"	"When did you most recently lose consciousness, have a traumatic brain injury, and or concussion?"	""	""	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"loc"	"phone_screen"	""	"notes"	"What happened?"	""	"Can you tell me about the first time you had a _____. What happened the second time you had a ___. What happened the third time you had a _____ . ."	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"locsymptoms"	"phone_screen"	""	"notes"	"Did you experience any symptoms after losing consciousness/the traumatic brain injury?"	""	""	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"locmedicalattention"	"phone_screen"	""	"notes"	"Did you seek medical attention after losing consciousness or the traumatic brain injury? If so, what did the doctor say?"	""	""	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"loccurrenteffects"	"phone_screen"	""	"notes"	"Do you currently experience effects from losing consciousness/the traumatic brain injury?"	""	""	""			""	"[tbi_07d943(1)] = '1' or [lostconsciousness(1)] = '1'"	""	""		""		""
"pain"	"phone_screen"	"Pain: In this section we will be asking you questions about pain."	"notes"	"Do you experience daily, frequent, or chronic pain anywhere in your body?\n\nIf no, \"so just to verify, you don't have back pain, correct\"?"	""	"Where, frequency (per week), intensity (1-10, 10 is high), medications, medical attention, cause of pain, how long have they experienced this pain"	""			""	""	""	""		""		""
"emotionalpsychiatric"	"phone_screen"	"Mental Health: In this section I will be asking you questions about your mental health. Just to give you a warning, some of these questions can be difficult. So if you need a break, please don't hesitate to let me know. "	"yesno"	"Have you ever seen anybody for emotional or psychiatric problems?"	""	""	""			""	""	""	""		""		""
"notes1"	"phone_screen"	""	"notes"	"Notes"	""	"When, where, diagnoses, medications, type of treatment"	""			""	"[emotionalpsychiatric] = '1'"	""	""		""		""
"hospitalized"	"phone_screen"	""	"yesno"	"Have you ever been hospitalized for psychological issues or been a patient in a psychiatric hospital?"	""	""	""			""	""	""	""		""		""
"notes2"	"phone_screen"	""	"notes"	"Notes"	""	"When, where, diagnoses, medications, type of treatment"	""			""	"[hospitalized] = '1'"	""	""		""		""
"suicidalthoughts"	"phone_screen"	""	"yesno"	"Have you ever wished you were dead or wished you could go to sleep and not wake up?"	""	""	""			""	""	""	""		""		""
"thoughtspasttwoweeks"	"phone_screen"	""	"yesno"	"Have you had these thoughts in the past two weeks, including today?"	""	""	""			""	"[suicidalthoughts] = '1'"	""	""		""		""
"suicidereferalquestions"	"phone_screen"	""	"descriptive"	"Refer to SI Protocol \n\n- Can you tell me a little more about these thoughts?\n- When you have these thoughts, do you form a plan to carry them out?\n- Do you feel like you are going to act on this plan? (intent?)\n- When you feel this way, do you have family or friends you can call?\n- Is there anything that has occurred that has led you to having these thoughts? \n\nProvide suicide hotline numbers. Refer them to local ER if they feel they are going to act on their thoughts. Imminent plan, call 9-911. "	""	""	""			""	"[thoughtspasttwoweeks] = '1'"	""	""		""		""
"suicidethoughtsnotes"	"phone_screen"	""	"notes"	"Notes"	""	""	""			""	"[thoughtspasttwoweeks] = '1'"	""	""		""		""
"suicideintent"	"phone_screen"	""	"yesno"	"Have you had a strong urge to kill yourself at any point during the past two weeks or any intention of attempting suicide?"	""	""	""			""	"[thoughtspasttwoweeks] = '1'"	""	""		""		""
"suicideintentnotes"	"phone_screen"	""	"notes"	"Notes"	""	""	""			""	"[suicideintent] = '1'"	""	""		""		""
"suicideplanmethod"	"phone_screen"	""	"yesno"	"In the past two weeks, have you thought about how you might actually do it or what you would need to do to carry this out?"	""	""	""			""	"[thoughtspasttwoweeks] = '1'"	""	""		""		""
"suicideplanmethodnotes"	"phone_screen"	""	"notes"	"Notes"	""	""	""			""	"[suicideplanmethod] = '1'"	""	""		""		""
"suicideattempt"	"phone_screen"	""	"yesno"	"Have you ever tried to kill yourself?"	""	""	""			""	""	""	""		""		""
"suicideattemptnotes"	"phone_screen"	""	"notes"	"Notes"	""	"how long ago"	""			""	"[suicideattempt] = '1'"	""	""		""		""
"mdddepresseddowncurrent"	"phone_screen"	""	"yesno"	"In the last month has there been a period of time lasting at least 2 weeks when you felt depressed or down most of the day nearly every day?"	""	""	""			""	""	""	""		""		""
"mddlossofinterestcurrent"	"phone_screen"	""	"yesno"	"In the last month has there been a period of time lasting at least 2 weeks when you felt a loss of interest or pleasure in most things you normally enjoy for most of the day nearly every day?"	""	""	""			""	""	""	""		""		""
"mddpast"	"phone_screen"	""	"yesno"	"Prior to last month, did you ever have at least a 2 week period when you felt depressed or experienced a loss of interest or pleasure in most things you normally enjoyed?"	""	""	""			""	""	""	""		""		""
"mddageofonset"	"phone_screen"	""	"text"	"Approximately how old were you when this first happened?"	""	""	""			""	"[mddpast] = '1'"	""	""		""		""
"schizophren"	"phone_screen"	""	"yesno"	"Have you had any unusual experiences such as hearing or seeing things that other people did not seem to hear or see?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes3"	"phone_screen"	""	"notes"	"Notes"	""	""	""			""	"[schizophren] = '1'"	""	""		""		""
"bipolar"	"phone_screen"	""	"yesno"	"Have you ever had a time when you were feeling so good, high, excited, \"hyper,\" or irritable that other people thought you were not your normal self or you were so hyper that you got into trouble?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes4"	"phone_screen"	""	"notes"	"Notes:"	""	""	""			""	"[bipolar] = '1'"	""	""		""		""
"lifethreateningevent"	"phone_screen"	""	"yesno"	"Have you ever had a stressful experience that may have been frightening, horrifying, or extremely upsetting? Examples include: major disaster, serious accident/fire, physical or sexual assault, seeing another person killed/dead/badly hurt, or being in combat."	""	"Certain things are not traumas, in spite of an individual's emotional reactions, for example, divorce; did any of these happen in the past 3 months?; Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes5"	"phone_screen"	""	"notes"	"Notes:"	""	""	""			""	"[lifethreateningevent] = '1'"	""	""		""		""
"attdefhypdis"	"phone_screen"	""	"yesno"	"Do you have a history of difficulties with paying attention, being easily distracted, losing things or organizing tasks or activities?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes6a"	"phone_screen"	""	"notes"	""	""	""	""			""	"[attdefhypdis] = '1'"	""	""		""		""
"restless"	"phone_screen"	""	"yesno"	"Do you have a history of feeling restless when you're sitting still, interrupting others, blurting out things you wish you could take back, difficulty doing leisure activities quietly, or acting first without thinking?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes6b"	"phone_screen"	""	"notes"	"Notes:"	""	""	""			""	"[restless] = '1'"	""	""		""		""
"obsessions"	"phone_screen"	""	"yesno"	"Are you bothered by thoughts, impulses, or images that are extremely uncomfortable (e.g., hurting someone against your will or being contaminated by germs) and that keep coming back even when you try not to have them?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"compulsions"	"phone_screen"	""	"yesno"	"Do you feel driven to continually repeat a behavior (e.g., washing, saying certain phrases in your mind, putting things in a particular order or checking locks, stoves, lights, etc.) and have difficulty resisting the urge to do so?"	""	"Take note of whether these symptoms began before or after deployment"	""			""	""	""	""		""		""
"notes7"	"phone_screen"	""	"notes"	"Notes:"	""	""	""			""	"[obsessions] = '1' or [compulsions] = '1'"	""	""		""		""
"bipolardisorder"	"phone_screen"	""	"dropdown"	"Have you ever been diagnosed with Bipolar Disorder or Manic Depression?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"bipolarwhodiagnosed"	"phone_screen"	""	"notes"	"If yes, what kind of doctor diagnosed you?"	""	""	""			""	"[bipolardisorder] = '1'"	""	""		""		""
"bipolarwhendiagnosed"	"phone_screen"	""	"notes"	"When were you diagnosed?"	""	""	""			""	"[bipolardisorder] = '1'"	""	""		""		""
"bipolarhospitalized"	"phone_screen"	""	"dropdown"	"Were you ever hospitalized?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[bipolardisorder] = '1'"	""	""		""		""
"bipolarmedications"	"phone_screen"	""	"dropdown"	"Do you take medications related to this diagnosis?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[bipolardisorder] = '1'"	""	""		""		""
"bipolarmedicationswhich"	"phone_screen"	""	"notes"	"If yes, which?"	""	""	""			""	"[bipolarmedications] = '1'"	""	""		""		""
"bipolarsignificantproblems"	"phone_screen"	""	"notes"	"Does the disorder cause you any significant problems?"	""	""	""			""	"[bipolardisorder] = '1'"	""	""		""		""
"schizophrenia"	"phone_screen"	""	"dropdown"	"Have you ever been diagnosed with schizophrenia, delusional disorder, or schizoaffective disorder?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"schizophreniawhodiagnosed"	"phone_screen"	""	"notes"	"If yes, what kind of doctor diagnosed you?"	""	""	""			""	"[schizophrenia] = '1'"	""	""		""		""
"schizophreniawhendiagnosed"	"phone_screen"	""	"notes"	"When were you diagnosed?"	""	""	""			""	"[schizophrenia] = '1'"	""	""		""		""
"schizophreniahospitalized"	"phone_screen"	""	"dropdown"	"Were you ever hospitalized?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[schizophrenia] = '1'"	""	""		""		""
"schizophreniamedications"	"phone_screen"	""	"dropdown"	"Do you take medications related to this diagnosis?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[schizophrenia] = '1'"	""	""		""		""
"schizophreniamedswhich"	"phone_screen"	""	"notes"	"If yes, which?"	""	""	""			""	"[schizophreniamedications] = '1'"	""	""		""		""
"schizophreniasigprobs"	"phone_screen"	""	"notes"	"Does the disorder cause you any significant problems?"	""	""	""			""	"[schizophrenia] = '1'"	""	""		""		""
"ptsd"	"phone_screen"	""	"dropdown"	"Have you ever been diagnosed with PTSD?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"ptsdwhodiagnosed"	"phone_screen"	""	"notes"	"If yes, what kind of doctor diagnosed you?"	""	""	""			""	"[ptsd] = '1'"	""	""		""		""
"ptsdwhendiagnosed"	"phone_screen"	""	"notes"	"When were you diagnosed?"	""	""	""			""	"[ptsd] = '1'"	""	""		""		""
"ptsdhospitalized"	"phone_screen"	""	"dropdown"	"Were you ever hospitalized?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[ptsd] = '1'"	""	""		""		""
"ptsdmedication"	"phone_screen"	""	"dropdown"	"Do you take medications related to this diagnosis?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[ptsd] = '1'"	""	""		""		""
"ptsdmedicationswhich"	"phone_screen"	""	"notes"	"If yes, which?"	""	""	""			""	"[ptsdmedication] = '1'"	""	""		""		""
"ptsdsignificantproblems"	"phone_screen"	""	"notes"	"Does the disorder cause you any significant problems?"	""	""	""			""	"[ptsd] = '1'"	""	""		""		""
"adhd"	"phone_screen"	""	"dropdown"	"Have you ever been diagnosed with ADHD?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"adhdwhodiagnosed"	"phone_screen"	""	"notes"	"If yes, what kind of doctor diagnosed you?"	""	""	""			""	"[adhd] = '1'"	""	""		""		""
"adhdwhendiagnosed"	"phone_screen"	""	"notes"	"When were you diagnosed?"	""	""	""			""	"[adhd] = '1'"	""	""		""		""
"adhdmedication"	"phone_screen"	""	"dropdown"	"Do you take medications related to this diagnosis?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[adhd] = '1'"	""	""		""		""
"adhdmedicationswhich"	"phone_screen"	""	"notes"	"If yes, which?"	""	""	""			""	"[adhdmedication] = '1'"	""	""		""		""
"adhdsignificantproblems"	"phone_screen"	""	"notes"	"Does the disorder cause you any significant problems?"	""	""	""			""	"[adhd] = '1'"	""	""		""		""
"ocd"	"phone_screen"	""	"dropdown"	"Have you ever been diagnosed with OCD?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	""	""	""		""		""
"ocdwhodiagnosed"	"phone_screen"	""	"notes"	"If yes, what kind of doctor diagnosed you?"	""	""	""			""	"[ocd] = '1'"	""	""		""		""
"ocdwhendiagnosed"	"phone_screen"	""	"notes"	"When were you diagnosed?"	""	""	""			""	"[ocd] = '1'"	""	""		""		""
"ocdhospitalized"	"phone_screen"	""	"dropdown"	"Were you ever hospitalized?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[ocd] = '1'"	""	""		""		""
"ocdmedication"	"phone_screen"	""	"dropdown"	"Do you take medications related to this diagnosis?"	"1, Yes | 2, No | 3, Not sure | 4, Declined to answer"	""	""			""	"[ocd] = '1'"	""	""		""		""
"ocdmedicationswhich"	"phone_screen"	""	"notes"	"If yes, which?"	""	""	""			""	"[ocdmedication] = '1'"	""	""		""		""
