StartDate	EndDate	Progress	Duration(inseconds)	Finished	RecordedDate	ResponseId	DistributionChannel	UserLanguage	Q29	Q26	Q1	Q2	Q3	Q4	Q5	Q55TEXT	Q7	Q75TEXT	Q11	Q113TEXT	Q114TEXT	Q115TEXT	Q9	Q93TEXT	Q15	Q156TEXT	Q17	Q173TEXT	Q174TEXT	Q20	Q21	Q22	Q23	Q24	Q25
"43954.911111111112"	"43954.915277777778"	"100"	"391"	"1"	"43954.915277777778"	"R_1E0DMv50QeJkUjb"	"anonymous"	"EN"	"I consent"	"0218G"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Surgery (please specify)"	"ENT oncology"	""	""	"Scribe America"	""	"The Cleveland Clinic, main campus"	""	"Unsure (please specify)"	"I am not sure what they valued on my resume. "	""	"A fair amount"	"I had a decent exposure to medical terminology, EMR systems, charting, and how a general patient visit goes as well as being able to identify what is crucial to note in a patient history. "	"A fair amount"	"I am very confident and relaxed curing my clinical experiences "	"A little bit"	""
"43955.61041666667"	"43955.612500000003"	"100"	"190"	"1"	"43955.612500000003"	"R_2sSDNfOxXkFXhIt"	"anonymous"	"EN"	"I consent"	"5959E"	"Yes"	">1 year"	"5 or more"	"31-40"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Middle"	""	"Primary Care (please specify)"	""	"Family Medicine but I also worked for orthopedic surgery "	""	"Other (please describe)"	"ABC Scribes"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Kettering Health Networl"	"Yes"	""	""	"A fair amount"	""	"Extremely helpful"	"I know a lot of tests that need to be ordered before the physician orders them. "	"Extremely helpful"	""
"43955.611111111109"	"43955.612500000003"	"100"	"156"	"1"	"43955.612500000003"	"R_3RlaBXMt2TCMUwr"	"anonymous"	"EN"	"I consent"	"0441M"	"Yes"	">1 year"	"5 or more"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"High"	""	"Specialty Medicine (please specify)"	""	""	"Dermatology"	"Other (please describe)"	"Private practice dermatology"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"private practice dermatology"	"Yes"	""	""	"Extremely helpful"	"better understanding of terminology."	"Very helpful"	"good understanding of clinical care structure and workers."	"Very helpful"	""
"43955.611111111109"	"43955.613888888889"	"100"	"274"	"1"	"43955.613888888889"	"R_2roKNfO8TxWnrRq"	"anonymous"	"EN"	"I consent"	"3519H"	"Yes"	"7-12 months"	"5 or more"	">40"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Middle"	""	"Specialty Medicine (please specify)"	""	""	"Hemotology/Oncology"	"Other (please describe)"	"Direct Hire"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"I worked in offices  (not hospitals) "	"Yes"	""	""	"Extremely helpful"	"I have a background knowledge of drugs and typical treatments from seeing and typing them out at work."	"A little bit"	"I feel comfortable talking with patients."	"Extremely helpful"	""
"43955.614583333336"	"43955.614583333336"	"100"	"23"	"1"	"43955.614583333336"	"R_ukLRo3UU0cuy48x"	"anonymous"	"EN"	"I consent"	"3615e"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.612500000003"	"43955.615277777775"	"100"	"217"	"1"	"43955.615277777775"	"R_Tn0bRVRZ8fS78iJ"	"anonymous"	"EN"	"I consent"	"7995 C"	"Yes"	">1 year"	"45720"	"31-40"	"Other (please describe)"	"Trumbull/Youngstown -had patients from urban/rural /suburbs "	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Trumbull Memorial Hospital "	"Yes"	""	""	"Extremely helpful"	"Had more clinical knowledgeable. "	"Extremely helpful"	"Helpful in focused history and physical exams. More comfortable in clinical setting working with various healthcare professionals. More familiar with hospital operations "	"Extremely helpful"	""
"43955.615277777775"	"43955.615277777775"	"100"	"22"	"1"	"43955.615277777775"	"R_z6Ji2Ft6hfFaVc5"	"anonymous"	"EN"	"I consent"	"7309C"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.615972222222"	"43955.616666666669"	"100"	"40"	"1"	"43955.616666666669"	"R_p6LSi76OnZOj6b7"	"anonymous"	"EN"	"I consent"	"0025M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.616666666669"	"43955.616666666669"	"100"	"29"	"1"	"43955.616666666669"	"R_1DTfZxXB0bzuz8F"	"anonymous"	"EN"	"I consent"	"3811a"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.613194444442"	"43955.618055555555"	"100"	"436"	"1"	"43955.618055555555"	"R_AvAKEe4YpDOmOsh"	"anonymous"	"EN"	"I consent"	"7223J"	"Yes"	"7-12 months"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Other (please describe)"	"Variable; some very affluent and others very impoverished"	"Specialty Surgery (please specify)"	"General, thoracic, colorectal, urological, bariatric, and plastic surgery"	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Cincinnati Children's Hospital - Main & satellite campuses"	"Yes"	""	""	"Extremely helpful"	"During scribing, I made sure I didn't treat it as \"just a job\", but instead I learned all I could during shifts. I treated it as if I were a medical student (minus the hands-on contact). Many of the pathologies we study in-class I had seen in-person"	"Extremely helpful"	"Seeing how  attendings, fellows, and residents interact with patients has shaped my interactions. Patients at CCHMC responded to personable people, and that's something I aim for every interaction I have."	"Extremely helpful"	"Simply being a scribe does not prepare anyone. For it to count for anything, you have to actually learn on-the-job and be curious about the patients you see. I spend numerous hours outside of scribe shifts talking with attendings, shadowing, etc. to gain what I did from it. "
"43955.615972222222"	"43955.620833333334"	"100"	"401"	"1"	"43955.620833333334"	"R_b1naffJD54cf9jH"	"anonymous"	"EN"	"I consent"	"3030 MK"	"Yes"	">1 year"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"ENT, oncology, primary care, heme oncology, urgent care, genetics, "	"Scribe America"	""	"University Hospitals, main campus,MetroHealth, main campus,Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel in Columbus (Hilliard, Pickerington, Westerville, Big Run, Trivillage), UH (Parma, westlake, minoff, landerbrook, twinsburg); Metrohealth (parma)"	"Yes"	""	""	"Extremely helpful"	"I know most of the labs/ imaging techniques we have learned, a fair amount of diseases, treatments, symptoms associated, etc. "	"Extremely helpful"	"CTAC- I already know how to write notes, ask questions of patients, pick which labs/ imaging to order, think about medical decision making. I also know how act in a medical setting, talk with different medical professionals and patients. The medical terminology has also been quite helpful. I am also way less timid than I would have been in clinical settings without my scribe experience. "	"Extremely helpful"	"I would recommend for every student interested in medical school. "
"43955.615972222222"	"43955.625"	"100"	"729"	"1"	"43955.625"	"R_2ZKPyHNtLofvIfg"	"anonymous"	"EN"	"I consent"	"3858P"	"Yes"	"7-12 months"	"0-2"	"21-30"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"Centra Lynchburg ED- independently employed by the hospital but paid by physicians"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Centra Lynchburg VA ED "	"Yes"	""	""	"Very helpful"	"I know a lot of medics vocabulary that first years are not explicitly taught, but are expected to know. I also have an easier time reading journal articles/resources because I understand terminology. Working in the ED has taught be how to screen patients and what tests to order. It also gave me an understanding of  OLDCARTS and gave me conifidence going into my OSKI because I have seen it many times in the ED."	"A fair amount"	"I understand medical terms and can pick apart typical presentations (ie flank pain with painful urination may lead me to think kidney stone) my peers may have a longer list of differentials or not know that typical presentation. "	"Very helpful"	""
"43955.618055555555"	"43955.625"	"100"	"610"	"1"	"43955.625"	"R_272wGk8VK11ReH3"	"anonymous"	"EN"	"I consent"	"8733W"	"Yes"	">1 year"	"5 or more"	">40"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Middle"	""	"Primary Care (please specify)"	""	"Family Medicine"	""	"Other (please describe)"	"ABC Scribes"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Kettering Health Network"	"Yes"	""	""	"Very helpful"	"I remember and recognize many medications and their typical uses as well as some common side effects. I became very familiar with lab values and common testing modalities. I feel like I have a general knowledge of common diagnoses and how they are treated."	"Very helpful"	"I very comfortable navigating and reading most EMR's. I was able to witness and document many patient encounters and feel as though I have an advantage in recognizing patient presentations."	"A fair amount"	"Medical scribing was very helpful in gathering a clinical foothold, especially in family medicine I was exposed to several different disease processes, how they are tested and managed. Most of this is surface level knowledge and mainly pattern recognition but I feel as though I have some knowledge of the majority of common illnesses."
"43955.625"	"43955.625694444447"	"100"	"46"	"1"	"43955.625694444447"	"R_3QVr9OUNC2bqBdn"	"anonymous"	"EN"	"I consent"	"2222L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.637499999997"	"43955.638194444444"	"100"	"45"	"1"	"43955.638194444444"	"R_pLhe24GQlpAUGOd"	"anonymous"	"EN"	"I consent"	"1953P"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.640277777777"	"43955.640972222223"	"100"	"26"	"1"	"43955.640972222223"	"R_3QK3Oeeg6IW9CpN"	"anonymous"	"EN"	"I consent"	"3347N"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.65347222222"	"43955.654861111114"	"100"	"84"	"1"	"43955.654861111114"	"R_3iQMOLWk0oCkELa"	"anonymous"	"EN"	"I consent"	"5523M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.490972222222"	"43955.682638888888"	"100"	"534990"	"1"	"43955.682638888888"	"R_1OTW2NFPmV707kR"	"anonymous"	"EN"	"I consent"	"9116, R"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.696527777778"	"43955.697222222225"	"100"	"29"	"1"	"43955.697222222225"	"R_3j68L6SAGabHI9R"	"anonymous"	"EN"	"I consent"	"4725 M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.701388888891"	"43955.70416666667"	"100"	"206"	"1"	"43955.70416666667"	"R_2EyrZHlWBgXyS5E"	"anonymous"	"EN"	"I consent"	"8934L"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"iScribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Promedica "	"Yes"	""	""	"A little bit"	"Familiar with how patients present and how the physicians will work up those patients "	"A fair amount"	"Simply being comfortable in the interview of a patient and knowing what questions are pertinent and the general flow of the exam "	"A little bit"	""
"43955.715277777781"	"43955.71597222222"	"100"	"55"	"1"	"43955.71597222222"	"R_2S35kMSM7YKBEdL"	"anonymous"	"EN"	"I consent"	"2541L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.726388888892"	"43955.729166666664"	"100"	"246"	"1"	"43955.729166666664"	"R_Y3rAeKbDqsZziAV"	"anonymous"	"EN"	"I consent"	"6636E"	"Yes"	"7-12 months"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Primary Care (please specify)"	""	"Family medicine//I also scribed in neurosurgery, but it wouldn’t let me select both"	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel"	"Yes"	""	""	"A fair amount"	"I understand proper documentation and terminology"	"Very helpful"	"Comfortable in clinical serrings"	"A fair amount"	""
"43955.751388888886"	"43955.751388888886"	"100"	"28"	"1"	"43955.751388888886"	"R_2s7ujMuQr3jdHzY"	"anonymous"	"EN"	"I consent"	"6830N"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43955.748611111114"	"43955.751388888886"	"100"	"264"	"1"	"43955.751388888886"	"R_bk1kXrRQQ9Zlwop"	"anonymous"	"EN"	"I consent"	"5242 K"	"Yes"	"7-12 months"	"5 or more"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"Elite medical scribes "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"out of state "	"Yes"	""	""	"A little bit"	"Knowing medical terms "	"A fair amount"	"Knowing how to interview patients"	"A fair amount"	"should not be required for medical school admissions"
"43956.409722222219"	"43956.411111111112"	"100"	"102"	"1"	"43956.411111111112"	"R_3EGU7FrgX57sHm3"	"anonymous"	"EN"	"I consent"	"2681r"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43956.490277777775"	"43956.490972222222"	"100"	"30"	"1"	"43956.490972222222"	"R_2TLb4X0YO6jY7qy"	"anonymous"	"EN"	"I consent"	"6619 M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.515972222223"	"43949.515972222223"	"21"	"33"	"0"	"43956.515972222223"	"R_3QXdoP4HwAzeau3"	"anonymous"	"EN"	"I consent"	"5826N"	"Yes"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.515972222223"	"43949.515972222223"	"11"	"11"	"0"	"43956.51666666667"	"R_2uD73u0RiCE205n"	"anonymous"	"EN"	"I consent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43956.536805555559"	"43956.536805555559"	"100"	"40"	"1"	"43956.536805555559"	"R_O3cfsWYKtAQl9Rv"	"anonymous"	"EN"	"I consent"	"9992 D"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43956.536111111112"	"43956.540972222225"	"100"	"446"	"1"	"43956.540972222225"	"R_1j7h7woafsCcLXH"	"anonymous"	"EN"	"I consent"	"4210J"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Specialty Medicine (please specify)"	""	""	"Nonsurgical sports medicine"	"Scribe America"	""	"University Hospitals, main campus,Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"UH Florence, UH West Chester, UH Holmes Hospital"	"Yes"	""	""	"Extremely helpful"	"Broad experience with medical terminology and diagnoses. Physicians also helped with educating on their specialties which has helped with learning those specialities."	"Extremely helpful"	"I've witnessed hundreds of patient encounters with several physicians that have helped me to see both pros and cons of patient interactions."	"Extremely helpful"	""
"43956.543055555558"	"43956.543055555558"	"100"	"26"	"1"	"43956.543055555558"	"R_2QnxwkvQZtj23Sl"	"anonymous"	"EN"	"I consent"	"4192L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43956.543749999997"	"43956.543749999997"	"100"	"23"	"1"	"43956.543749999997"	"R_1hRLfDvCqMyyyWj"	"anonymous"	"EN"	"I consent"	"5566L"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.570833333331"	"43949.572916666664"	"63"	"143"	"0"	"43956.572916666664"	"R_6lEV2NUsPPRS2Tn"	"anonymous"	"EN"	"I consent"	"4576E"	"Yes"	"7-12 months"	"45720"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Dayton Children’s Hospital "	""	""	""	""	""	""	""	""	""
"43949.625694444447"	"43949.625694444447"	"11"	"12"	"0"	"43956.626388888886"	"R_Dlb7qERDsepj3fb"	"anonymous"	"EN"	"I consent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43949.802777777775"	"43949.803472222222"	"11"	"36"	"0"	"43956.803472222222"	"R_3hstOF3S3tZQDMe"	"anonymous"	"EN"	"I consent"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43957.606249999997"	"43957.607638888891"	"100"	"127"	"1"	"43957.607638888891"	"R_3PTBoOlrZEoH3wM"	"anonymous"	"EN"	"I consent"	"2168A"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43958.497916666667"	"43958.498611111114"	"100"	"47"	"1"	"43958.498611111114"	"R_2Cgen8LFJf4wOIr"	"anonymous"	"EN"	"I consent"	"3735A"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"43964.472916666666"	"43964.480555555558"	"100"	"697"	"1"	"43964.480555555558"	"R_30wq8MhRtnBp7bl"	"anonymous"	"EN"	"I consent"	"5656L"	"Yes"	">1 year"	"45720"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Low"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Dayton's Children Hospital"	"Unsure (please specify)"	"It was not discussed during my interview, so I am not sure if it played a role in my interview offer"	""	"A fair amount"	"During CTAC patient encounters, it helped me document better and allowed for more confidence in talking with patients. "	"A little bit"	"More confidence in talking to patients since I have observed the doctors that I scribe for do it so often. "	"A fair amount"	""
"43964.563194444447"	"43964.565972222219"	"100"	"234"	"1"	"43964.565972222219"	"R_YQbwetJ9CbLa5gZ"	"anonymous"	"EN"	"I consent"	"9319J"	"Yes"	"7-12 months"	"0-2"	"45981"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Aultman Hospital (Canton)"	"Yes"	""	""	"Very helpful"	"Scribing helped with understanding of medical terminology as well as medical decision making and charting"	"A fair amount"	"Scribing exposed me to a \"standard\" encounter with patients and how the conversation should transpire."	"Very helpful"	""
"43959.425000000003"	"43965.478472222225"	"100"	"523006"	"1"	"43965.478472222225"	"R_1BS41D7eIeFyyyL"	"anonymous"	"EN"	"I consent"	"2301 A"	"Yes"	"7-12 months"	"45720"	"21-30"	"Rural 2-10,000 population (e.g. Ada, Sheffield Village, Loudinville)"	""	"Middle"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Holzer"	"Yes"	""	""	"Very helpful"	"Made clinical skills labs much easier"	"Very helpful"	"Was easy for me to know how to chart"	"A little bit"	""
"44033.484027777777"	"44033.484722222223"	"100"	"41"	"1"	"44033.484722222223"	"R_3JjUsTbCxCet7n0"	"anonymous"	"EN"	"I consent"	"5752F"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.484027777777"	"44033.484722222223"	"100"	"32"	"1"	"44033.484722222223"	"R_0OeUJmtjyRGY8lr"	"anonymous"	"EN"	"I consent"	"0956R"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.484027777777"	"44033.484722222223"	"100"	"34"	"1"	"44033.484722222223"	"R_3szUVDH4ZUZjDOE"	"anonymous"	"EN"	"I consent"	"1742m"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.48541666667"	"44033.486111111109"	"100"	"30"	"1"	"44033.486111111109"	"R_3QGyeR1DRmZ4zoa"	"anonymous"	"EN"	"I consent"	"7910P"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.484722222223"	"44033.486111111109"	"100"	"92"	"1"	"44033.486111111109"	"R_5bCPeZCPvRtDbBn"	"anonymous"	"EN"	"I consent"	"4752 M"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.48541666667"	"44033.486805555556"	"100"	"147"	"1"	"44033.486805555556"	"R_TcGZjSVJCxCL1aV"	"anonymous"	"EN"	"I consent"	"0976J"	"Yes"	">1 year"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Specialty Medicine (please specify)"	""	""	"Breast Oncology"	"Other (please describe)"	"CIMS"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"UPMC Harrisburg, UPMC Community, UPMC West Shore, UMPC Carlise "	"Yes"	""	""	"Extremely helpful"	" I have had a set ahead of understanding the medical terminology, pathologies, how to write a soap note, how to do a PE,  etc"	"Extremely helpful"	"I have been able to answer questions far above what we had to know due to past experiences "	"Extremely helpful"	""
"44033.486805555556"	"44033.486805555556"	"100"	"36"	"1"	"44033.486805555556"	"R_1kYwiZIStIOO22N"	"anonymous"	"EN"	"I consent"	"0644J"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.484027777777"	"44033.486805555556"	"100"	"254"	"1"	"44033.486805555556"	"R_3pbUP9FcPBF1KuM"	"anonymous"	"EN"	"I consent"	"3670P"	"Yes"	">1 year"	"45720"	"21-30"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Other (please describe)"	"Emergency Services Inc. "	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"Mount Carmel "	"Yes"	""	""	"Very helpful"	"I already had knowledge about some of the topics we studied because I saw it as a scribe "	"Very helpful"	"I had a lot of experience in the clinical setting and was better prepared to take histories from patients "	"Very helpful"	""
"44033.484722222223"	"44033.486805555556"	"100"	"211"	"1"	"44033.486805555556"	"R_PuDbvwHxG2VQFl7"	"anonymous"	"EN"	"I consent"	"0484R"	"Yes"	"3-6 months"	"45720"	"31-40"	"Inner Ring Suburban >10,000 (e.g. Cleveland: Lakewood, Cleveland Heights, Euclid; Columbus: Merion Village, Eastmoor)"	""	"Middle"	""	"Emergency"	""	""	""	"Other (please describe)"	"iScribe MD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"ProMedica"	"Yes"	""	""	"Extremely helpful"	"It made me familiar with the history and physical portion of patient visits. I was also very familiar with how to chart things in the EMR"	"Extremely helpful"	""	"Extremely helpful"	""
"44033.488888888889"	"44033.490972222222"	"100"	"203"	"1"	"44033.490972222222"	"R_21bICWPYgT5Tvfe"	"anonymous"	"EN"	"I consent"	"2612"	"Yes"	">1 year"	"5 or more"	"31-40"	"Outer Suburb >10,000 (e.g. Cleveland: Shaker Heights, Beachwood, Westlake)"	""	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	""	"Yes"	""	""	"Very helpful"	"It helped me increase my medical knowledge "	"Very helpful"	"It helped me learn the terminology "	"Very helpful"	""
"44033.493750000001"	"44033.497916666667"	"100"	"359"	"1"	"44033.497916666667"	"R_2QETmjkDBi2O48v"	"anonymous"	"EN"	"I consent"	"4062s"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.498611111114"	"44033.499305555553"	"100"	"53"	"1"	"44033.499305555553"	"R_1oCs945wRAPwhsy"	"anonymous"	"EN"	"I consent"	"8452F"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.505555555559"	"44033.506249999999"	"100"	"62"	"1"	"44033.506249999999"	"R_Z46mkJBgCVLHO2R"	"anonymous"	"EN"	"I consent"	"0508K"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.513194444444"	"44033.513194444444"	"100"	"39"	"1"	"44033.513194444444"	"R_3NBOcShKZgSejh0"	"anonymous"	"EN"	"I consent"	"5581D"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.518750000003"	"44033.519444444442"	"100"	"18"	"1"	"44033.519444444442"	"R_yPwFYbiz6u2YmYh"	"anonymous"	"EN"	"I consent"	"2751B"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.55"	"44033.554166666669"	"100"	"313"	"1"	"44033.554166666669"	"R_2CExStTw1LAe26n"	"anonymous"	"EN"	"I consent"	"5826N"	"Yes"	">1 year"	"5 or more"	"31-40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Mixed"	""	"Emergency"	""	""	""	"Scribe America"	""	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	""	"No"	""	""	"Very helpful"	"SP encounters in CTAC, notewriting both in CTAC, understanding medical decision making and the process of creating differential diagnoses, understanding the etiology, presentation diagnosis and management of a number of diseases/conditions "	"Very helpful"	"Patients interviewing, writing notes, understanding how a medical department works and how to place myself to both learn and be an asset to the department"	"A fair amount"	"Being a scribe helped me realize that I truly wanted to pursue a career in medicine. I truly enjoyed the experience because it got me involved in medicine in ways that research and shadowing cannot. "
"44033.556944444441"	"44033.556944444441"	"100"	"28"	"1"	"44033.556944444441"	"R_1rGLpepEE0id1Dq"	"anonymous"	"EN"	"I consent"	"5429R"	"No"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"44033.559027777781"	"44033.561111111114"	"100"	"156"	"1"	"44033.561111111114"	"R_3rSY2KYOuWZiOHG"	"anonymous"	"EN"	"I consent"	"5103S"	"Yes"	">1 year"	"5 or more"	">40"	"Urban Metro area >300,000 (e.g. Cleveland-Akron, Columbus, Cincinnati)"	""	"Low"	""	"Emergency"	""	""	""	"Other (please describe)"	"iScribeMD"	"Other (Please describe, include smaller hospitals of UH/CCF/MetroHealth, e.g. UH Pharma)"	"ProMedica"	"Yes"	""	""	"Very helpful"	"Understanding medical terms and common presentations"	"Extremely helpful"	"Knowing how to use EMR, being part of a healthcare team"	"A fair amount"	""
